IRMS_d13C_Collagen,d15N_Collagen,Latitude_N,Longitude_E,Chronological_Period_clean,Mediterranean_Basin
-23.86,3.37,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-23.26,6.19,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-24.3,7.2,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-21.93,-0.39,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-23.98,-2.4,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-23.59,3.29,35.2994728,25.1616528,Neolithic,Eastern_Med
-25.74,-2.4,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-23.43,-0.4,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-21.32,2.04,38.285047,26.702271,Chalcolithic,Eastern_Med
-22.7,0.3,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.8,2.71,38.285047,26.702271,Chalcolithic,Eastern_Med
-22.04,5.68,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-24.98,7.0,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-23.9,2.3,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-22.96,1.41,38.285047,26.702271,Chalcolithic,Eastern_Med
-25.1,-2.5,37.062972,22.420611,Late_Neolithic,Central_Med
-21.42,7.93,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-23.6,-1.1,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.6,3.2,40.418422,22.591694,Late_Neolithic,Central_Med
-23.3,0.3,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.6,0.1,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.0,2.5,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-22.2,3.01,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-24.7,4.4,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.01,2.5,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-24.4,4.6,35.2994728,25.1616528,Early_Iron_Age,Eastern_Med
-23.2,4.3,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.1,2.9,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-21.6,0.6,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-26.0,-0.8,,,Other,unknown
-22.6,1.7,37.062972,22.420611,Late_Neolithic,Central_Med
-22.46,4.79,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-22.9,3.7,40.640317,22.935272,Middle_Late_Bronze_Age,Central_Med
-22.99,3.34,35.798885,36.798413,Early_Bronze_Age,Eastern_Med
-23.9,2.8,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.67,2.33,38.285047,26.702271,Chalcolithic,Eastern_Med
-21.0,6.4,43.446908,5.685143,Chalcolithic,Western_Med
-24.2,4.9,40.640317,22.935272,Middle_Late_Bronze_Age,Central_Med
-22.0,5.9,36.667179,41.058576,Early_Bronze_Age,Eastern_Med
-22.6,3.4,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-25.1,0.8,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.9,-0.3,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.43,4.91,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-21.51,4.43,37.15237,-1.894537,Middle_Late_Bronze_Age,Western_Med
-22.65,3.77,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-25.3,1.3,40.418422,22.591694,Late_Neolithic,Central_Med
-23.8,1.0,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.44,-0.3,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-24.4,4.0,40.640317,22.935272,Middle_Late_Bronze_Age,Central_Med
-22.9,-1.3,37.062972,22.420611,Late_Neolithic,Central_Med
-23.6,0.9,41.8857261,12.7156425,Late_Iron_Age,Central_Med
